Data do Lead,ID_Lead,Qual a sua área de atuação?,Qual o seu cargo atual?,Quais seus objetivos com o curso?,Como você conheceu a escola?,Conversão
10/23/22,1689,Mercado Financeiro,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
10/23/22,2994,Comercial / Vendas,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
10/23/22,1869,Comercial / Vendas,Analista,Melhorar minha carreira e ganhar mais,Instagram,1
10/24/22,1717,Comercial / Vendas,Estudante,Melhorar minha carreira e ganhar mais,Instagram,0
10/24/22,1755,Comercial / Vendas,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Instagram,0
10/24/22,2493,Logística,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Indicação,0
10/25/22,2017,Comercial / Vendas,Analista,Melhorar minha carreira e ganhar mais,Facebook,0
10/25/22,2777,Pessoas / Recursos Humanos,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
10/25/22,1675,Comercial / Vendas,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
10/26/22,1710,Logística,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
10/26/22,2059,Comercial / Vendas,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Facebook,0
10/27/22,1802,Comercial / Vendas,Estudante,Melhorar minha carreira e ganhar mais,Instagram,0
10/27/22,3146,Logística,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
10/28/22,1998,Comercial / Vendas,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Instagram,1
10/28/22,2369,Comercial / Vendas,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Instagram,0
10/29/22,1855,Comercial / Vendas,Estudante,Melhorar minha carreira e ganhar mais,Instagram,0
10/29/22,3147,Comercial / Vendas,Estudante,Melhorar minha carreira e ganhar mais,Facebook,0
10/30/22,1750,Logística,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
10/30/22,1751,Logística,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
10/31/22,1699,Mercado Financeiro,Estudante,Melhorar minha carreira e ganhar mais,Instagram,1
10/31/22,1583,Logística,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Indicação,0
10/31/22,1792,Comercial / Vendas,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
10/31/22,1985,Pessoas / Recursos Humanos,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Facebook,0
10/31/22,2057,Logística,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Instagram,0
11/1/22,1994,Pessoas / Recursos Humanos,Analista,Melhorar minha carreira e ganhar mais,Instagram,1
11/1/22,1861,Pessoas / Recursos Humanos,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
11/1/22,2714,Comercial / Vendas,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Instagram,1
11/2/22,2220,Logística,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
11/2/22,1789,Comercial / Vendas,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
11/2/22,2974,Comercial / Vendas,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
11/3/22,1766,Logística,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Instagram,1
11/3/22,2401,Comercial / Vendas,Estudante,Apenas ver se agrega algo ao currículo,Instagram,0
11/3/22,2809,Logística,Estudante,Melhorar minha carreira e ganhar mais,Facebook,0
11/4/22,2107,Mercado Financeiro,Coordenador(a) / Gerente,Apenas ver se agrega algo ao currículo,Facebook,1
11/4/22,2810,Logística,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,0
11/4/22,2341,Logística,Analista,Apenas ver se agrega algo ao currículo,Indicação,0
11/5/22,2811,Logística,Analista,Melhorar minha carreira e ganhar mais,Instagram,0
11/5/22,1864,Comercial / Vendas,Estou desempregado(a) no momento,Melhorar minha carreira e ganhar mais,Instagram,0
11/6/22,1867,Comercial / Vendas,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Instagram,1
11/6/22,1896,Logística,Coordenador(a) / Gerente,Melhorar minha carreira e ganhar mais,Facebook,0
11/6/22,2294,Comercial / Vendas,Analista,Apenas ver se agrega algo ao currículo,Facebook,0
